Chunk_ID,Text,Type,Article_Number,Title,Section,Themes,Search_Terms
chunk_article_1,"Article 1: Name and territory of the Union

1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of India shall comprise",full_article,1,Name and territory of the Union,Unknown,federal_structure,"territory, india, name, bharat, territories, thereof, specified, first, schedule, comprise, federal_structure, name and territory of the union"
chunk_article_1_clause_(2),"Article 1, Clause (2): The States and the territories thereof shall be as specified in the First Schedule",clause,1,,Unknown,federal_structure,"territories, thereof, specified, first, schedule"
chunk_article_1,"Article 1: The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired

1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired",full_article,1,The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired,Unknown,federal_structure,"territories, specified, first, schedule, other, acquired, federal_structure, the territories of the states; the union territories specified in the first schedule; and such other territories as may be acquired"
chunk_article_2,"Article 2: Admission or establishment of new States

2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit",full_article,2,Admission or establishment of new States,Unknown,federal_structure,"admission, establishment, admit, into, establish, terms, conditions, thinks, federal_structure, admission or establishment of new states"
chunk_article_2A,"Article 2A: Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5

2A. Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5 (with effect from 26 04 1975)",full_article,2A,"Sikkim to be associated with the Union Replaced by the Constitution Thirty six Amendment Act, 1975, Section 5",Unknown,"federal_structure, amendment","1975, sikkim, associated, replaced, thirty, amendment, section, effect, federal_structure, amendment, sikkim to be associated with the union replaced by the constitution thirty six amendment act, 1975, section 5"
chunk_article_3,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States

3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law (a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State; (b) increase the ar...",full_article,3,"Formation of new States and alteration of areas, boundaries or names of existing States",Unknown,"federal_structure, governance, amendment","territory, boundaries, uniting, area, bill, president, period, form, part, alter, name, within, specified, explanation, includes, federal_structure, governance, amendment, formation of new states and alteration of areas, boundaries or names of existing states"
chunk_article_3_clause_(a),"Article 3, Clause (a): form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;",clause,3,,Unknown,"federal_structure, governance, amendment","territory, uniting, form, separation, more"
chunk_article_3_clause_(e),"Article 3, Clause (e): alter the name of any State; Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referred by the President to the Legislature of that State for expressing its views ...",clause,3,,Unknown,"federal_structure, governance, amendment","bill, president, period, name, within"
chunk_article_3_clause_(a),"Article 3, Clause (a): includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory",clause,3,,Unknown,"federal_structure, governance, amendment","territory, includes, power, form, uniting"
chunk_article_4,"Article 4: Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters

4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters (1) Any law referred to in Article 2 or Article 3 shall contain such provis...",full_article,4,"Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters",Unknown,"federal_structure, amendment","provisions, amendment, first, fourth, supplemental, incidental, consequential, contain, schedule, necessary, laws, made, articles, provide, schedules, federal_structure, amendment, laws made under articles 2 and 3 to provide for the amendment of the first and the fourth schedules and supplemental, incidental and consequential matters"
chunk_article_4_clause_(2),"Article 4, Clause (2): No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of Article 368 PART II C ITIZENSHIP",clause,4,,Unknown,"federal_structure, amendment","aforesaid, deemed, amendment, purposes, part"
chunk_article_5,"Article 5: Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and

5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and (a) who was born in the territory of India; or (b) either of whose pare...",full_article,5,Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and,Unknown,federal_structure,"india, territory, commencement, born, citizenship, every, person, domicile, either, whose, parents, ordinarily, resident, less, than, federal_structure, citizenship at the commencement of the constitution at the commencement of this constitution every person who has his domicile in the territory of india and"
chunk_article_5_clause_(b),"Article 5, Clause (b): either of whose parents was born in the territory of India; or",clause,5,,Unknown,federal_structure,"either, whose, parents, born, territory"
chunk_article_5_clause_(c),"Article 5, Clause (c): who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",clause,5,,Unknown,federal_structure,"india, ordinarily, resident, territory, less"
chunk_article_5_clause_(c),"Article 5, Clause (c): who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India",clause,5,,Unknown,federal_structure,"india, ordinarily, resident, territory, less"
chunk_article_6,"Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if

6. Rights of citizenship of certain persons who have migrated to India from Pakistan N...",full_article,6,"Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if",Unknown,"fundamental_rights, federal_structure","india, migrated, person, territory, pakistan, citizen, commencement, parents, case, nineteenth, july, 1948, resident, date, registered, fundamental_rights, federal_structure, rights of citizenship of certain persons who have migrated to india from pakistan notwithstanding anything in article 5, a person who has migrated to the territory of india from the territory now included in pakistan shall be deemed to be a citizen of india at the commencement of this constitution if"
chunk_article_6_clause_(i),"Article 6, Clause (i): in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or",clause,6,,Unknown,"fundamental_rights, federal_structure","case, person, migrated, nineteenth, july"
chunk_article_6_clause_(ii),"Article 6, Clause (ii): in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government: Pro...",clause,6,,Unknown,"fundamental_rights, federal_structure","india, person, registered, officer, application"
chunk_article_7,"Article 7: Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India

7. Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person...",full_article,7,"Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India",Unknown,"fundamental_rights, federal_structure","territory, india, pakistan, person, migrated, included, deemed, rights, citizenship, certain, migrants, notwithstanding, anything, articles, first, fundamental_rights, federal_structure, rights of citizenship of certain migrants to pakistan notwithstanding anything in articles 5 and 6, a person who has after the first day of march, 1947, migrated from the territory of india to the territory now included in pakistan shall not be deemed to be a citizen of india"
chunk_article_7_clause_(b),"Article 7, Clause (b): of Article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948",clause,7,,Unknown,"fundamental_rights, federal_structure","deemed, migrated, territory, india, nineteenth"
chunk_article_8,"Article 8: Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935

8. Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any perso...",full_article,8,"Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935",Unknown,fundamental_rights,"india, residing, outside, whose, parents, defined, country, citizen, diplomatic, consular, representative, rights, citizenship, certain, persons, fundamental_rights, rights of citizenship of certain persons of india origin residing outside india notwithstanding anything in article 5, any person who or either of whose parents or any of whose grand parents was born in india as defined in the government of india act, 1935"
chunk_article_9,"Article 9: Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee

9. Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be deemed to be a citizen of India by virtue of Article 6 or Article 8, if he has voluntar...",full_article,9,"Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee",Unknown,federal_structure,"person, voluntarily, citizenship, foreign, citizen, india, virtue, acquiring, citizens, deemed, acquired, federal_structure, person voluntarily acquiring citizenship of a foreign state not to be citizens no person shall be a citizen of india by virtue of article 5, or be dee"
chunk_article_10,"Article 10: Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part

10. Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continu...",full_article,10,Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part,Unknown,fundamental_rights,"citizen, provisions, continuance, rights, citizenship, every, person, deemed, india, foregoing, part, subject, made, continue, fundamental_rights, continuance of the rights of citizenship every person who is or is deemed to be a citizen of india under any of the foregoing provisions of this part"
chunk_article_11,"Article 11: Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to

11. Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship...",full_article,11,Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to,Unknown,fundamental_rights,"citizenship, part, regulate, right, nothing, foregoing, provisions, derogate, power, make, provision, respect, acquisition, termination, other, fundamental_rights, parliament to regulate the right of citizenship by law nothing in the foregoing provisions of this part shall derogate from the power of parliament to"
chunk_article_12,"Article 12: Definition In this part, unless the context otherwise requires, the State includes the Government and Parliament of India and the Government and the L

12. Definition In this part, unless the context otherwise requires, the State includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the ter...",full_article,12,"Definition In this part, unless the context otherwise requires, the State includes the Government and Parliament of India and the Government and the L",Unknown,federal_structure,"india, definition, part, context, otherwise, requires, includes, legislature, each, local, other, authorities, within, territory, control, federal_structure, definition in this part, unless the context otherwise requires, the state includes the government and parliament of india and the government and the l"
chunk_article_13,"Article 13: Laws inconsistent with or in derogation of the fundamental rights

13. Laws inconsistent with or in derogation of the fundamental rights (1) All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void (2) The State shall not ...",full_article,13,Laws inconsistent with or in derogation of the fundamental rights,Unknown,"fundamental_rights, federal_structure, amendment","laws, force, territory, india, part, made, inconsistent, rights, commencement, extent, void, contravention, includes, derogation, fundamental, fundamental_rights, federal_structure, amendment, laws inconsistent with or in derogation of the fundamental rights"
chunk_article_13_clause_(2),"Article 13, Clause (2): The State shall not make any law which takes away or abridges the rights conferred by this Part and any law made in contravention of this clause shall, to the extent of the contravention, be void",clause,13,,Unknown,"fundamental_rights, federal_structure, amendment","contravention, make, takes, away, abridges"
chunk_article_13_clause_(3),"Article 13, Clause (3): In this article, unless the context otherwise requires law includes any Ordinance, order, bye law, rule, regulation, notification, custom or usages having in the territory of India the force of law; laws in force includes laws passed or made by Legislature or other competent authority in the territory of India before the commencement of this Constitution and not previously ...",clause,13,,Unknown,"fundamental_rights, federal_structure, amendment","includes, territory, india, force, laws"
chunk_article_13_clause_(4),"Article 13, Clause (4): Nothing in this article shall apply to any amendment of this Constitution made under Article 368 Right of Equality",clause,13,,Unknown,"fundamental_rights, federal_structure, amendment","nothing, apply, amendment, made, right"
chunk_article_14,"Article 14: Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India P

14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India Prohibition of discrimination on grounds of religion, race, caste, sex or place of ...",full_article,14,Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India P,Unknown,"fundamental_rights, federal_structure","equality, deny, person, equal, protection, laws, within, territory, india, prohibition, discrimination, grounds, religion, race, caste, fundamental_rights, federal_structure, equality before law the state shall not deny to any person equality before the law or the equal protection of the laws within the territory of india p"
chunk_article_15,"Article 15: Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth

15. Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth (1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them (2) No citizen shall, on grounds only of religion, race, caste, sex, pl...",full_article,15,"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",Unknown,"fundamental_rights, directive_principles, federal_structure","public, grounds, religion, race, caste, place, birth, citizen, only, nothing, prevent, making, special, provision, scheduled, fundamental_rights, directive_principles, federal_structure, prohibition of discrimination on grounds of religion, race, caste, sex or place of birth"
chunk_article_15_clause_(3),"Article 15, Clause (3): Nothing in this article shall prevent the State from making any special provision for women and children",clause,15,,Unknown,"fundamental_rights, directive_principles, federal_structure","nothing, prevent, making, special, provision"
chunk_article_15_clause_(a),"Article 15, Clause (a): access to shops, public restaurants, hotels and palaces of public entertainment; or",clause,15,,Unknown,"fundamental_rights, directive_principles, federal_structure","public, access, shops, restaurants, hotels"
chunk_article_16,"Article 16: Equality of opportunity in matters of public employment

16. Equality of opportunity in matters of public employment (1) There shall be equality of opportunity for all citizens in matters relating to employment or appointment to any office under the State (2) No citizen shall, on grounds only of religion, race, caste, sex, descent, place of birth, residence or any of them, be ineligibl...",full_article,16,Equality of opportunity in matters of public employment,Unknown,"fundamental_rights, federal_structure, emergency","employment, office, appointment, nothing, equality, opportunity, matters, citizens, religion, residence, prevent, making, class, within, territory, fundamental_rights, federal_structure, emergency, equality of opportunity in matters of public employment"
chunk_article_16_clause_(2),"Article 16, Clause (2): No citizen shall, on grounds only of religion, race, caste, sex, descent, place of birth, residence or any of them, be ineligible for, or discriminated against in respect or, any employment or office under the State",clause,16,,Unknown,"fundamental_rights, federal_structure, emergency","citizen, grounds, only, religion, race"
chunk_article_16_clause_(3),"Article 16, Clause (3): Nothing in this article shall prevent Parliament from making any law prescribing, in regard to a class or classes of employment or appointment to an office under the Government of, or any local or other authority within, a State or Union territory, any requirement as to residence within that State or Union territory prior to such employment or appointment",clause,16,,Unknown,"fundamental_rights, federal_structure, emergency","employment, appointment, within, territory, nothing"
chunk_article_16_clause_(4),"Article 16, Clause (4): Nothing in this article shall prevent the State from making any provision for the reservation of appointments or posts in favor of any backward class of citizens which, in the opinion of the State, is not adequately represented in the services under the State",clause,16,,Unknown,"fundamental_rights, federal_structure, emergency","nothing, prevent, making, provision, reservation"
chunk_article_16_clause_(5),"Article 16, Clause (5): Nothing in this article shall affect the operation of any law which provides that the incumbent of an office in connection with the affairs of any religious or denominational institution or any member of the governing body thereof shall be a person professing a particular religion or belonging to a particular denomination",clause,16,,Unknown,"fundamental_rights, federal_structure, emergency","particular, nothing, affect, operation, provides"
