Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What is Article 1 of the Indian Constitution?,"Article 1 is titled 'Name and territory of the Union'. 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of India shall comprise...",1,overview,basic,federal_structure,,,
What is the title of Article 1?,Name and territory of the Union,1,title,basic,federal_structure,,,
Explain Article 1 in detail.,"Article 1 (Name and territory of the Union) states: 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of India shall comprise",1,detailed_explanation,intermediate,federal_structure,,,
What does clause (2) of Article 1 state?,The States and the territories thereof shall be as specified in the First Schedule,1,clause_specific,intermediate,federal_structure,,(2),
Explain clause (2) of Article 1.,Clause (2) of Article 1 explains: The States and the territories thereof shall be as specified in the First Schedule,1,clause_explanation,advanced,federal_structure,,(2),
What does clause (3) of Article 1 state?,The territory of India shall comprise,1,clause_specific,intermediate,federal_structure,,(3),
Explain clause (3) of Article 1.,Clause (3) of Article 1 explains: The territory of India shall comprise,1,clause_explanation,advanced,federal_structure,,(3),
Which article deals with federal structure in the Indian Constitution?,Article 1 (Name and territory of the Union) deals with federal structure.,1,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about territory?,"According to Article 1 (Name and territory of the Union), 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of Ind...",1,keyword_search,intermediate,federal_structure,territory,,
What does the Constitution say about india?,"According to Article 1 (Name and territory of the Union), 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of Ind...",1,keyword_search,intermediate,federal_structure,india,,
What does the Constitution say about name?,"According to Article 1 (Name and territory of the Union), 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of Ind...",1,keyword_search,intermediate,federal_structure,name,,
What does the Constitution say about bharat?,"According to Article 1 (Name and territory of the Union), 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of Ind...",1,keyword_search,intermediate,federal_structure,bharat,,
What does the Constitution say about territories?,"According to Article 1 (Name and territory of the Union), 1. Name and territory of the Union (1) India, that is Bharat, shall be a Union of States (2) The States and the territories thereof shall be as specified in the First Schedule (3) The territory of Ind...",1,keyword_search,intermediate,federal_structure,territories,,
What is Article 1 of the Indian Constitution?,Article 1 is titled 'The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired'. 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired...,1,overview,basic,federal_structure,,,
What is the title of Article 1?,The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired,1,title,basic,federal_structure,,,
Explain Article 1 in detail.,Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired) states: 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired,1,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired) deals with federal structure.,1,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about territories?,"According to Article 1 (The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired), 1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired...",1,keyword_search,intermediate,federal_structure,territories,,
